Date,Mağaza girişi ziyaretçileri: Tüm ülkeler / bölgeler,Mağaza girişi edinme sayısı: Tüm ülkeler / bölgeler,Mağaza girişi dönüşüm oranı: Tüm ülkeler / bölgeler,Mağaza girişi dönüşüm oranı: Benzerlerin ortanca değeri (Tüm ülkeler / bölgeler),Mağaza girişi dönüşüm oranı: 25. yüzde birlik dilim (Tüm ülkeler / bölgeler),Mağaza girişi dönüşüm oranı: 75. yüzde birlik dilim (Tüm ülkeler / bölgeler),Notlar
16 May 2025,0,0,%0,-,-,-,
17 May 2025,0,0,%0,-,-,-,
18 May 2025,0,0,%0,-,-,-,
19 May 2025,0,0,%0,-,-,-,
20 May 2025,0,0,%0,-,-,-,
21 May 2025,0,0,%0,-,-,-,
22 May 2025,0,0,%0,-,-,-,
23 May 2025,0,0,%0,-,-,-,
24 May 2025,0,0,%0,-,-,-,
25 May 2025,0,0,%0,-,-,-,
26 May 2025,0,0,%0,-,-,-,
27 May 2025,0,0,%0,-,-,-,
28 May 2025,0,0,%0,-,-,-,
29 May 2025,0,0,%0,-,-,-,
30 May 2025,0,0,%0,-,-,-,
31 May 2025,0,0,%0,-,-,-,
1 Haz 2025,0,0,%0,-,-,-,
2 Haz 2025,0,0,%0,-,-,-,
3 Haz 2025,0,0,%0,-,-,-,
4 Haz 2025,0,0,%0,-,-,-,
5 Haz 2025,0,0,%0,-,-,-,
6 Haz 2025,0,0,%0,-,-,-,
7 Haz 2025,0,0,%0,-,-,-,
8 Haz 2025,0,0,%0,-,-,-,
9 Haz 2025,0,0,%0,-,-,-,
10 Haz 2025,0,0,%0,-,-,-,
11 Haz 2025,0,0,%0,-,-,-,
12 Haz 2025,0,0,%0,-,-,-,
13 Haz 2025,0,0,%0,-,-,-,
14 Haz 2025,0,0,%0,-,-,-,
15 Haz 2025,0,0,%0,-,-,-,
16 Haz 2025,0,0,%0,-,-,-,
17 Haz 2025,0,0,%0,-,-,-,
18 Haz 2025,0,0,%0,-,-,-,
19 Haz 2025,0,0,%0,-,-,-,
20 Haz 2025,0,0,%0,-,-,-,
21 Haz 2025,0,0,%0,-,-,-,
22 Haz 2025,0,0,%0,-,-,-,
23 Haz 2025,0,0,%0,-,-,-,
24 Haz 2025,0,0,%0,-,-,-,
25 Haz 2025,0,0,%0,-,-,-,
26 Haz 2025,0,0,%0,-,-,-,
27 Haz 2025,0,0,%0,-,-,-,
28 Haz 2025,0,0,%0,-,-,-,
29 Haz 2025,0,0,%0,-,-,-,
30 Haz 2025,0,0,%0,-,-,-,
1 Tem 2025,0,0,%0,-,-,-,
2 Tem 2025,0,0,%0,-,-,-,
3 Tem 2025,0,0,%0,-,-,-,
4 Tem 2025,0,0,%0,-,-,-,
5 Tem 2025,0,0,%0,-,-,-,
6 Tem 2025,0,0,%0,-,-,-,
7 Tem 2025,0,0,%0,-,-,-,
8 Tem 2025,0,0,%0,-,-,-,
9 Tem 2025,0,0,%0,-,-,-,
10 Tem 2025,0,0,%0,-,-,-,
11 Tem 2025,0,0,%0,-,-,-,
12 Tem 2025,0,0,%0,-,-,-,
13 Tem 2025,0,0,%0,-,-,-,
14 Tem 2025,0,0,%0,-,-,-,
15 Tem 2025,0,0,%0,-,-,-,
16 Tem 2025,0,0,%0,-,-,-,
17 Tem 2025,0,0,%0,-,-,-,
18 Tem 2025,0,0,%0,-,-,-,
19 Tem 2025,0,0,%0,-,-,-,
20 Tem 2025,0,0,%0,-,-,-,
21 Tem 2025,0,0,%0,-,-,-,
22 Tem 2025,0,0,%0,-,-,-,
23 Tem 2025,0,0,%0,-,-,-,
24 Tem 2025,0,0,%0,-,-,-,
25 Tem 2025,0,0,%0,-,-,-,
26 Tem 2025,0,0,%0,-,-,-,
27 Tem 2025,0,0,%0,-,-,-,
28 Tem 2025,0,0,%0,-,-,-,
29 Tem 2025,0,0,%0,-,-,-,
30 Tem 2025,0,0,%0,-,-,-,
31 Tem 2025,0,0,%0,-,-,-,
1 Ağu 2025,0,0,%0,-,-,-,
2 Ağu 2025,0,0,%0,-,-,-,
3 Ağu 2025,0,0,%0,-,-,-,
4 Ağu 2025,0,0,%0,-,-,-,
5 Ağu 2025,0,0,%0,-,-,-,
6 Ağu 2025,0,0,%0,-,-,-,
7 Ağu 2025,0,0,%0,-,-,-,
8 Ağu 2025,0,0,%0,-,-,-,
9 Ağu 2025,0,0,%0,-,-,-,
10 Ağu 2025,0,0,%0,-,-,-,
11 Ağu 2025,0,0,%0,-,-,-,
12 Ağu 2025,0,0,%0,-,-,-,
13 Ağu 2025,0,0,%0,-,-,-,
14 Ağu 2025,0,0,%0,-,-,-,
15 Ağu 2025,0,0,%0,-,-,-,
16 Ağu 2025,0,0,%0,-,-,-,
17 Ağu 2025,0,0,%0,-,-,-,
18 Ağu 2025,0,0,%0,-,-,-,
19 Ağu 2025,0,0,%0,-,-,-,
20 Ağu 2025,0,0,%0,-,-,-,
21 Ağu 2025,0,0,%0,-,-,-,
22 Ağu 2025,0,0,%0,-,-,-,
23 Ağu 2025,0,0,%0,-,-,-,
24 Ağu 2025,0,0,%0,-,-,-,
25 Ağu 2025,0,0,%0,-,-,-,
26 Ağu 2025,0,0,%0,-,-,-,
27 Ağu 2025,0,0,%0,-,-,-,
28 Ağu 2025,0,0,%0,-,-,-,
29 Ağu 2025,0,0,%0,-,-,-,
30 Ağu 2025,0,0,%0,-,-,-,
31 Ağu 2025,0,0,%0,-,-,-,
1 Eyl 2025,0,0,%0,-,-,-,
2 Eyl 2025,0,0,%0,-,-,-,
3 Eyl 2025,0,0,%0,-,-,-,
4 Eyl 2025,0,0,%0,-,-,-,
5 Eyl 2025,0,0,%0,-,-,-,
6 Eyl 2025,0,0,%0,-,-,-,
7 Eyl 2025,0,0,%0,-,-,-,
8 Eyl 2025,0,0,%0,-,-,-,
9 Eyl 2025,0,0,%0,-,-,-,
10 Eyl 2025,0,0,%0,-,-,-,
11 Eyl 2025,0,0,%0,-,-,-,
12 Eyl 2025,0,0,%0,-,-,-,
13 Eyl 2025,0,0,%0,-,-,-,
14 Eyl 2025,0,0,%0,-,-,-,
15 Eyl 2025,0,0,%0,-,-,-,
16 Eyl 2025,0,0,%0,-,-,-,
17 Eyl 2025,0,0,%0,-,-,-,
18 Eyl 2025,0,0,%0,-,-,-,
19 Eyl 2025,0,0,%0,-,-,-,
20 Eyl 2025,0,0,%0,-,-,-,
21 Eyl 2025,0,0,%0,-,-,-,
22 Eyl 2025,0,0,%0,-,-,-,
23 Eyl 2025,0,0,%0,-,-,-,
24 Eyl 2025,0,0,%0,-,-,-,
25 Eyl 2025,0,0,%0,-,-,-,
26 Eyl 2025,0,0,%0,-,-,-,
27 Eyl 2025,0,0,%0,-,-,-,
28 Eyl 2025,0,0,%0,-,-,-,
29 Eyl 2025,0,0,%0,-,-,-,
30 Eyl 2025,0,0,%0,-,-,-,
1 Eki 2025,0,0,%0,-,-,-,
2 Eki 2025,0,0,%0,-,-,-,
3 Eki 2025,0,0,%0,-,-,-,
4 Eki 2025,0,0,%0,-,-,-,
5 Eki 2025,0,0,%0,-,-,-,
6 Eki 2025,0,0,%0,-,-,-,
7 Eki 2025,0,0,%0,-,-,-,
8 Eki 2025,0,0,%0,-,-,-,
9 Eki 2025,0,0,%0,-,-,-,
10 Eki 2025,0,0,%0,-,-,-,
11 Eki 2025,0,0,%0,-,-,-,
12 Eki 2025,0,0,%0,-,-,-,
13 Eki 2025,0,0,%0,-,-,-,
14 Eki 2025,0,0,%0,-,-,-,
15 Eki 2025,0,0,%0,-,-,-,
16 Eki 2025,0,0,%0,-,-,-,
17 Eki 2025,0,0,%0,-,-,-,
18 Eki 2025,0,0,%0,-,-,-,
19 Eki 2025,0,0,%0,-,-,-,
20 Eki 2025,0,0,%0,-,-,-,
21 Eki 2025,0,0,%0,-,-,-,
22 Eki 2025,0,0,%0,-,-,-,
23 Eki 2025,0,0,%0,-,-,-,
24 Eki 2025,0,0,%0,-,-,-,
25 Eki 2025,0,0,%0,-,-,-,
26 Eki 2025,0,0,%0,-,-,-,
27 Eki 2025,0,0,%0,-,-,-,
28 Eki 2025,0,0,%0,-,-,-,
29 Eki 2025,0,0,%0,-,-,-,
30 Eki 2025,0,0,%0,-,-,-,
31 Eki 2025,0,0,%0,-,-,-,
1 Kas 2025,0,0,%0,-,-,-,
2 Kas 2025,0,0,%0,-,-,-,
3 Kas 2025,0,0,%0,-,-,-,
4 Kas 2025,0,0,%0,-,-,-,
5 Kas 2025,0,0,%0,-,-,-,
6 Kas 2025,0,0,%0,-,-,-,
7 Kas 2025,0,0,%0,-,-,-,
8 Kas 2025,0,0,%0,-,-,-,
9 Kas 2025,0,0,%0,-,-,-,
10 Kas 2025,0,0,%0,-,-,-,
11 Kas 2025,0,0,%0,-,-,-,
12 Kas 2025,0,0,%0,-,-,-,
13 Kas 2025,0,0,%0,-,-,-,
14 Kas 2025,0,0,%0,-,-,-,
15 Kas 2025,0,0,%0,-,-,-,
16 Kas 2025,0,0,%0,-,-,-,
17 Kas 2025,0,0,%0,-,-,-,
18 Kas 2025,0,0,%0,-,-,-,
19 Kas 2025,0,0,%0,-,-,-,
20 Kas 2025,0,0,%0,-,-,-,
21 Kas 2025,0,0,%0,-,-,-,
22 Kas 2025,0,0,%0,-,-,-,
23 Kas 2025,0,0,%0,-,-,-,
24 Kas 2025,0,0,%0,-,-,-,
25 Kas 2025,0,0,%0,-,-,-,
26 Kas 2025,0,0,%0,-,-,-,
27 Kas 2025,0,0,%0,-,-,-,
28 Kas 2025,0,0,%0,-,-,-,
29 Kas 2025,0,0,%0,-,-,-,
30 Kas 2025,0,0,%0,-,-,-,
1 Ara 2025,0,0,%0,-,-,-,
2 Ara 2025,0,0,%0,-,-,-,
3 Ara 2025,0,0,%0,-,-,-,
4 Ara 2025,0,0,%0,-,-,-,
5 Ara 2025,0,0,%0,-,-,-,
6 Ara 2025,0,0,%0,-,-,-,
7 Ara 2025,0,0,%0,-,-,-,
8 Ara 2025,0,0,%0,-,-,-,
9 Ara 2025,0,0,%0,-,-,-,
10 Ara 2025,0,0,%0,-,-,-,
11 Ara 2025,0,0,%0,-,-,-,
12 Ara 2025,0,0,%0,-,-,-,
13 Ara 2025,0,0,%0,-,-,-,
14 Ara 2025,0,0,%0,-,-,-,
15 Ara 2025,0,0,%0,-,-,-,
16 Ara 2025,0,0,%0,-,-,-,
17 Ara 2025,0,0,%0,-,-,-,
18 Ara 2025,0,0,%0,-,-,-,
19 Ara 2025,0,0,%0,-,-,-,
20 Ara 2025,0,0,%0,-,-,-,
21 Ara 2025,0,0,%0,-,-,-,
22 Ara 2025,0,0,%0,-,-,-,
23 Ara 2025,0,0,%0,-,-,-,
24 Ara 2025,0,0,%0,-,-,-,
25 Ara 2025,0,0,%0,-,-,-,
26 Ara 2025,0,0,%0,-,-,-,
27 Ara 2025,0,0,%0,-,-,-,
28 Ara 2025,0,0,%0,-,-,-,
29 Ara 2025,0,0,%0,-,-,-,
30 Ara 2025,0,0,%0,-,-,-,
31 Ara 2025,0,0,%0,-,-,-,
1 Oca 2026,0,0,%0,-,-,-,
2 Oca 2026,0,0,%0,-,-,-,
3 Oca 2026,0,0,%0,-,-,-,
4 Oca 2026,0,0,%0,-,-,-,
5 Oca 2026,0,0,%0,-,-,-,
6 Oca 2026,0,0,%0,-,-,-,
7 Oca 2026,0,0,%0,-,-,-,
8 Oca 2026,0,0,%0,-,-,-,
9 Oca 2026,0,0,%0,-,-,-,
10 Oca 2026,0,0,%0,-,-,-,
11 Oca 2026,0,0,%0,-,-,-,
12 Oca 2026,0,0,%0,-,-,-,
13 Oca 2026,0,0,%0,-,-,-,
14 Oca 2026,0,0,%0,-,-,-,
15 Oca 2026,0,0,%0,-,-,-,
16 Oca 2026,0,0,%0,-,-,-,
17 Oca 2026,0,0,%0,-,-,-,
18 Oca 2026,0,0,%0,-,-,-,
19 Oca 2026,0,0,%0,-,-,-,
20 Oca 2026,0,0,%0,-,-,-,
21 Oca 2026,0,0,%0,-,-,-,
22 Oca 2026,0,0,%0,-,-,-,
23 Oca 2026,0,0,%0,-,-,-,
24 Oca 2026,0,0,%0,-,-,-,
25 Oca 2026,0,0,%0,-,-,-,
26 Oca 2026,0,0,%0,-,-,-,
27 Oca 2026,0,0,%0,-,-,-,
28 Oca 2026,0,0,%0,-,-,-,
29 Oca 2026,0,0,%0,-,-,-,
30 Oca 2026,0,0,%0,-,-,-,
31 Oca 2026,0,0,%0,-,-,-,
1 Şub 2026,0,0,%0,-,-,-,
2 Şub 2026,0,0,%0,-,-,-,
3 Şub 2026,0,0,%0,-,-,-,
4 Şub 2026,0,0,%0,-,-,-,
5 Şub 2026,0,0,%0,-,-,-,
6 Şub 2026,0,0,%0,-,-,-,
7 Şub 2026,0,0,%0,-,-,-,
8 Şub 2026,0,0,%0,-,-,-,
9 Şub 2026,0,0,%0,-,-,-,
10 Şub 2026,0,0,%0,-,-,-,
11 Şub 2026,0,0,%0,-,-,-,
12 Şub 2026,0,0,%0,-,-,-,
13 Şub 2026,0,0,%0,-,-,-,
14 Şub 2026,0,0,%0,-,-,-,
15 Şub 2026,0,0,%0,-,-,-,
16 Şub 2026,0,0,%0,-,-,-,
17 Şub 2026,0,0,%0,-,-,-,
18 Şub 2026,0,0,%0,-,-,-,
19 Şub 2026,0,0,%0,-,-,-,
20 Şub 2026,0,0,%0,-,-,-,
21 Şub 2026,0,0,%0,-,-,-,
22 Şub 2026,0,0,%0,-,-,-,
23 Şub 2026,0,0,%0,-,-,-,
24 Şub 2026,0,0,%0,-,-,-,
